profile,asin,brand,title,price,availability,cpu,ram_gb,rom_gb,gpu,gpu_class,has_dgpu,size_inch,resolution,refresh_rate_hz,panel_type,has_usb_c,usb_c_power_delivery_w,detail_url
desktop-pc,B0G3L9Y88J,DARUMA,DARUMA-PCRyzen5 5500 / メモリ16GB / SSD 1TB M2 NVMe / B550M WiFi6+ Bluetooth/Windows 11 Home / 拡張可能650W Ryzen 5 5500,185800,IN_STOCK,Ryzen 5 5500,16,1024,RTX 5060,dgpu,True,,,,,,,https://www.amazon.co.jp/dp/B0G3L9Y88J?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B0GT5X5YNH,TITAN GAMING,TITAN GAMING ゲーミングPC デスクトップパソコン GeForce RTX 5060 Ti 16GB Ryzen 7 5700X メモリ32GB NVMe SSD 512GB Window,238000,LEADTIME,Ryzen 7 5700X,32,512,RTX 5060,dgpu,True,,,,,,,https://www.amazon.co.jp/dp/B0GT5X5YNH?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B0GMPNDLCG,マウスコンピューター(Mouse Computer),マウスコンピューター(Mouse Computer) mouse  ゲーミングPC デスクトップPC G TUNE DG (Core i5 14400F 16GB メモリ 1TB SSD Windows 11 無線LAN ゲーム 動画編集) DGI5G6 Core i5-14400F,299800,IN_STOCK_SCARCE,Core i5-14400F,16,1024,RTX 5060,dgpu,True,,,,,,,https://www.amazon.co.jp/dp/B0GMPNDLCG?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B0GT5WPFW2,TITAN GAMING,TITAN GAMING ゲーミングPC デスクトップパソコン GeForce RTX 5070 Ryzen 7 7800X3D メモリ32GB NVMe SSD 512GB Windows 11 H,314000,LEADTIME,Ryzen 7 7800X3D,32,512,RTX 5070,dgpu,True,,,,,,,https://www.amazon.co.jp/dp/B0GT5WPFW2?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B0GMPZ2T8H,ASUS,ASUS ゲーミングデスクトップPC TUF Gaming TM500 TM500MH GeForce RTX 5050 AMD Ryzen 5 220 メモリ16GB SSD1TB Windows1,184800,IN_STOCK_SCARCE,Ryzen 5 220,16,1024,Integrated,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0GMPZ2T8H?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B00KG9KA5A,ＧＡＬＬＥＲＩＡ,ＧＡＬＬＥＲＩＡ ガレリア ゲーミングPC  GALLERIA XPR7A-R56-GD Ryzen 7 7700搭載 Windows 11 Home 動画編集 ゲーム実況 19889-4816,291180,LEADTIME,Ryzen 7 7700,16,1024,RTX 5060,dgpu,True,,,,,,,https://www.amazon.co.jp/dp/B00KG9KA5A?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B0FDKL4F2Y,ASUS,ASUS ゲーミングPC ROG G700 GM700TZ GeForce RTX 5080 AMD Ryzen 7 9800X3D メモリ64GB SSD2TB Windows11 液冷CPUクーラ,698000,IN_STOCK_SCARCE,Ryzen 7 9800X3D,64,64,RTX 5080,dgpu,True,,,,,,,https://www.amazon.co.jp/dp/B0FDKL4F2Y?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B0F2HD9TN1,WaffleMK,WaffleMK ゲーミングPC タワー型 G-StormXi Geforce RTX 5070 Core i9-13900F 32GBメモリ 2.0TBSSD WiFi Windows 11 クリエ,498800,LEADTIME,Core i9-13900F,32,2048,RTX 5070,dgpu,True,,,,,,,https://www.amazon.co.jp/dp/B0F2HD9TN1?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B0DMRQBF6C,WaffleMK,WaffleMK ゲーミングPC タワー型 G-Stormシリーズ AMD GeForce 16GBメモリ Windows 11 WPS Office2 SSD512GB Ryzen 5 5500 R,159500,LEADTIME,Ryzen 5 5500,16,512,RTX 4060,dgpu,True,,,,,,,https://www.amazon.co.jp/dp/B0DMRQBF6C?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B0CXHYN4QN,WaffleMK,WaffleMK ゲーミングPC タワー型 G-Stormシリーズ AMD GeForce 16GBメモリ Windows 11 WPS Office2 SSD512GB Ryzen 5 4500 G,99800,LEADTIME,Ryzen 5 4500,16,512,GTX 1650,dgpu,True,,,,,,,https://www.amazon.co.jp/dp/B0CXHYN4QN?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B0CXHYWP54,WaffleMK,WaffleMK ゲーミングPC タワー型 G-Stormシリーズ AMD GeForce 16GBメモリ Windows 11 WPS Office2 SSD1.0TB Ryzen 7 5700X,152800,LEADTIME,Ryzen 7 5700X,16,1024,Integrated,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0CXHYWP54?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B0F1MFZTQS,WaffleMK,WaffleMK ゲーミングPC タワー型 G-StormRシリーズ AMD Ryzen 5 4500 - GeForce RTX 3060 12G - 16GBメモリ - 500GB - WiFi,134800,LEADTIME,Ryzen 5 4500,16,500,Integrated,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0F1MFZTQS?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B0F4Q12C35,Dell,Dell デスクトップパソコン Dell Tower ECT1250 Core Ultra 7 265 メモリ32GB SSD 1TB Windows 11 Home ブラック (2025春モデル),200000,IN_STOCK_SCARCE,Core Ultra 7 265,32,1024,Integrated,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0F4Q12C35?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B0F4PYHKXX,Dell,Dell デスクトップパソコン Dell Tower ECT1250 Core i7 14700 メモリ16GB SSD 1TB Windows 11 Pro ブラック (2025春モデル) Core i7-14700,278522,LEADTIME,Core i7-14700,16,1024,Integrated,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0F4PYHKXX?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B0CX58FRQH,ＮＥＷＬＥＡＧＵＥ,ＮＥＷＬＥＡＧＵＥ NEWLEAGUE ゲーミングデスクトップパソコン 特選モデルRyzen 5 5500 / RTX3050 / 16GB / NVMe SSD 512GB / 550W電源ユニット / Windows,149800,LEADTIME,Ryzen 5 5500,50,512,Integrated,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0CX58FRQH?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
desktop-pc,B0F4R9YLNJ,Dell,Dell デスクトップパソコン Dell Tower ECT1250 Core i5 14400 メモリ16GB SSD 512GB Windows 11 Home ブラック Microsoft Of Core i5-14400,209800,IN_STOCK_SCARCE,Core i5-14400,16,512,Integrated,integrated,False,,,,,,,https://www.amazon.co.jp/dp/B0F4R9YLNJ?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
